short_name,long_name,age,dob,height_cm,weight_kg,nationality,club
L. Messi,Lionel Andrés Messi Cuccittini,32,1987-06-24,170,72,Argentina,FC Barcelona
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,34,1985-02-05,187,83,Portugal,Juventus
Neymar Jr,Neymar da Silva Santos Junior,27,1992-02-05,175,68,Brazil,Paris Saint-Germain
J. Oblak,Jan Oblak,26,1993-01-07,188,87,Slovenia,Atlético Madrid
E. Hazard,Eden Hazard,28,1991-01-07,175,74,Belgium,Real Madrid
K. De Bruyne,Kevin De Bruyne,28,1991-06-28,181,70,Belgium,Manchester City
M. ter Stegen,Marc-André ter Stegen,27,1992-04-30,187,85,Germany,FC Barcelona
V. van Dijk,Virgil van Dijk,27,1991-07-08,193,92,Netherlands,Liverpool
L. Modrić,Luka Modrić,33,1985-09-09,172,66,Croatia,Real Madrid
M. Salah,Mohamed  Salah Ghaly,27,1992-06-15,175,71,Egypt,Liverpool
K. Mbappé,Kylian Mbappé,20,1998-12-20,178,73,France,Paris Saint-Germain
K. Koulibaly,Kalidou Koulibaly,28,1991-06-20,187,89,Senegal,Napoli
H. Kane,Harry Kane,25,1993-07-28,188,89,England,Tottenham Hotspur
Alisson,Alisson Ramses Becker,26,1992-10-02,191,91,Brazil,Liverpool
De Gea,David De Gea Quintana,28,1990-11-07,192,82,Spain,Manchester United
N. Kanté,N'Golo Kanté,28,1991-03-29,168,72,France,Chelsea
G. Chiellini,Giorgio Chiellini,34,1984-08-14,187,85,Italy,Juventus
S. Agüero,Sergio Leonel Agüero del Castillo,31,1988-06-02,173,70,Argentina,Manchester City
Sergio Ramos,Sergio Ramos García,33,1986-03-30,184,82,Spain,Real Madrid
L. Suárez,Luis Alberto Suárez Díaz,32,1987-01-24,182,86,Uruguay,FC Barcelona
R. Lewandowski,Robert Lewandowski,30,1988-08-21,184,80,Poland,FC Bayern München
Sergio Busquets,Sergio Busquets i Burgos,30,1988-07-16,189,76,Spain,FC Barcelona
A. Griezmann,Antoine Griezmann,28,1991-03-21,176,73,France,FC Barcelona
P. Dybala,Paulo Bruno Exequiel Dybala,25,1993-11-15,177,75,Argentina,Juventus
P. Pogba,Paul Pogba,26,1993-03-15,191,84,France,Manchester United
Ederson,Ederson Santana de Moraes,25,1993-08-17,188,86,Brazil,Manchester City
R. Sterling,Raheem Sterling,24,1994-12-08,170,69,England,Manchester City
C. Eriksen,Christian  Dannemann Eriksen,27,1992-02-14,181,76,Denmark,Tottenham Hotspur
T. Courtois,Thibaut Courtois,27,1992-05-11,199,96,Belgium,Real Madrid
Piqué,Gerard Piqué Bernabéu,32,1987-02-02,194,85,Spain,FC Barcelona
S. Handanovič,Samir Handanovič,34,1984-07-14,193,92,Slovenia,Inter
M. Neuer,Manuel Neuer,33,1986-03-27,193,92,Germany,FC Bayern München
H. Lloris,Hugo Lloris,32,1986-12-26,188,82,France,Tottenham Hotspur
David Silva,David Josué Jiménez Silva,33,1986-01-08,173,67,Spain,Manchester City
E. Cavani,Edinson Roberto Cavani Gómez,32,1987-02-14,185,77,Uruguay,Paris Saint-Germain
D. Godín,Diego Godín,33,1986-02-16,187,78,Uruguay,Inter
T. Kroos,Toni Kroos,29,1990-01-04,183,76,Germany,Real Madrid
M. Reus,Marco Reus,30,1989-05-31,180,71,Germany,Borussia Dortmund
P. Aubameyang,Pierre-Emerick Aubameyang,30,1989-06-18,187,80,Gabon,Arsenal
S. Mané,Sadio Mané,27,1992-04-10,175,69,Senegal,Liverpool
A. Laporte,Aymeric  Laporte,25,1994-05-27,189,85,France,Manchester City
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,24,1994-08-10,173,64,Portugal,Manchester City
Casemiro,Carlos Henrique Venancio Casimiro,27,1992-02-23,185,84,Brazil,Real Madrid
H. Son,손흥민 孙兴慜,26,1992-07-08,183,78,Korea Republic,Tottenham Hotspur
Fernandinho,Fernando Luiz Rosa,34,1985-05-04,179,67,Brazil,Manchester City
Thiago Silva,Thiago Emiliano da Silva,34,1984-09-22,183,82,Brazil,Paris Saint-Germain
K. Benzema,Karim Benzema,31,1987-12-19,185,81,France,Real Madrid
J. Vertonghen,Jan Vertonghen,32,1987-04-24,189,86,Belgium,Tottenham Hotspur
D. Mertens,Dries Mertens,32,1987-05-06,169,61,Belgium,Napoli
M. Hummels,Mats  Hummels,30,1988-12-16,191,94,Germany,Borussia Dortmund
T. Alderweireld,Toby Alderweireld,30,1989-03-02,186,81,Belgium,Tottenham Hotspur
Jordi Alba,Jordi Alba Ramos,30,1989-03-21,170,68,Spain,FC Barcelona
Thiago,Thiago Alcântara do Nascimento,28,1991-04-11,174,70,Spain,FC Bayern München
K. Navas,Keylor Navas,32,1986-12-15,185,80,Costa Rica,Real Madrid
L. Insigne,Lorenzo Insigne,28,1991-06-04,163,59,Italy,Napoli
L. Sané,Leroy Sané,23,1996-01-11,183,75,Germany,Manchester City
Marquinhos,Marcos  Aoás Corrêa,25,1994-05-14,183,75,Brazil,Paris Saint-Germain
M. Škriniar,Milan Škriniar,24,1995-02-11,187,80,Slovakia,Inter
M. Verratti,Marco Verratti,26,1992-11-05,165,60,Italy,Paris Saint-Germain
S. Umtiti,Samuel Umtiti,25,1993-11-14,182,75,France,FC Barcelona
W. Szczęsny,Wojciech  Szczęsny,29,1990-04-18,195,90,Poland,Juventus
J. Kimmich,Joshua Kimmich,24,1995-02-08,176,73,Germany,FC Bayern München
Isco,Francisco Román Alarcón Suárez,27,1992-04-21,176,79,Spain,Real Madrid
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,27,1991-10-02,181,76,Brazil,Liverpool
I. Rakitić,Ivan Rakitić,31,1988-03-10,184,78,Croatia,FC Barcelona
M. Pjanić,Miralem Pjanić,29,1990-04-02,178,72,Bosnia Herzegovina,Juventus
A. Di María,Ángel Fabián Di María Hernández,31,1988-02-14,180,69,Argentina,Paris Saint-Germain
L. Bonucci,Leonardo Bonucci,32,1987-05-01,190,85,Italy,Juventus
Coutinho,Philippe Coutinho Correia,27,1992-06-12,172,68,Brazil,FC Bayern München
Parejo,Daniel Parejo Muñoz,30,1989-04-16,182,74,Spain,Valencia CF
T. Müller,Thomas Müller,29,1989-09-13,186,75,Germany,FC Bayern München
C. Immobile,Ciro Immobile,29,1990-02-20,185,85,Italy,Lazio
A. Lacazette,Alexandre Lacazette,28,1991-05-28,175,73,France,Arsenal
M. de Ligt,Matthijs de Ligt,19,1999-08-12,189,89,Netherlands,Juventus
G. Donnarumma,Gianluigi Donnarumma,20,1999-02-25,196,90,Italy,Milan
F. de Jong,Frenkie de Jong,22,1997-05-12,180,74,Netherlands,FC Barcelona
R. Varane,Raphaël Varane,26,1993-04-25,191,81,France,Real Madrid
N. Süle,Niklas Süle,23,1995-09-03,195,97,Germany,FC Bayern München
S. Milinković-Savić,Sergej Milinković-Savić,24,1995-02-27,191,76,Serbia,Lazio
Rodri,Rodrigo Hernández Cascante,23,1996-06-22,191,82,Spain,Manchester City
Saúl,Saúl Ñíguez Esclápez,24,1994-11-21,184,77,Spain,Atlético Madrid
Fabinho,Fábio Henrique Tavares,25,1993-10-23,188,78,Brazil,Liverpool
A. Robertson,Andrew Robertson,25,1994-03-11,178,64,Scotland,Liverpool
J. Giménez,José María Giménez de Vargas,24,1995-01-20,185,80,Uruguay,Atlético Madrid
C. Lenglet,Clément Lenglet,24,1995-06-17,186,81,France,FC Barcelona
Bruno Fernandes,Bruno Miguel Borges Fernandes,24,1994-09-08,179,69,Portugal,Sporting CP
A. Lopes,Anthony Lopes,28,1990-10-01,184,81,Portugal,Olympique Lyonnais
P. Gulácsi,Péter Gulácsi,29,1990-05-06,192,86,Hungary,RB Leipzig
R. Bürki,Roman Bürki,28,1990-11-14,187,85,Switzerland,Borussia Dortmund
R. Lukaku,Romelu Lukaku,26,1993-05-13,190,94,Belgium,Inter
K. Manolas,Kostas Manolas,28,1991-06-14,189,83,Greece,Napoli
Neto,Norberto Murara Neto,29,1989-07-19,190,84,Brazil,FC Barcelona
D. Alaba,David Olatukunbo Alaba,27,1992-06-24,180,78,Austria,FC Bayern München
M. Icardi,Mauro Emanuel Icardi Rivero,26,1993-02-19,181,75,Argentina,Inter
Carvajal,Daniel Carvajal Ramos,27,1992-01-11,173,73,Spain,Real Madrid
H. Ziyech,Hakim Ziyech,26,1993-03-19,181,65,Morocco,Ajax
